"Id","AddedDatetimeOffset","LoadNum","LoadMaxEarlyShipDate","TradingPartnerName","TradingPartnerNum","OrigLocName","OrigCityName","OriginState","OrigPostalCode","OrigLatitude","OrigLongitude","LocName","CityName","StateCode","PostalCode","Latitude","Longitude","StopType","OrderList","Dist_FromPrevStop","DurationTransitTimeFromPrevStop","StopNum","OrdCount","HandlingUnitCountTotPlanned","PieceCountTotPlanned","WtBase_NetTotPlanned","DateTime_Appointment","DateTime_ActualArrival","DateTime_ActualDeparture"
"1","2025-07-21 12:20:04","L100000","2025-07-21","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100000","0","0","1","1","20","800","29358","2025-07-21 09:00","2025-07-21 09:00","2025-07-21 10:24"
"2","2025-07-21 12:20:04","L100000","2025-07-21","Atlanta Retail Partner","CUST-5640","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","Delivery","PO-L100000","440","8.8","2","1","20","800","29358","2025-07-21 19:12","2025-07-21 19:12","2025-07-21 20:17"
"3","2025-07-22 12:20:04","L100001","2025-07-22","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100001","0","0","1","1","23","920","21450","2025-07-22 08:00","2025-07-22 08:00","2025-07-22 10:29"
"4","2025-07-22 12:20:04","L100001","2025-07-22","Atlanta Retail Partner","CUST-6538","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","Delivery","PO-L100001","440","8.8","2","1","23","920","21450","2025-07-22 19:17","2025-07-22 19:17","2025-07-22 20:22"
"5","2025-07-27 12:20:04","L100002","2025-07-27","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100002","0","0","1","1","19","760","43191","2025-07-27 07:00","2025-07-27 07:00","2025-07-27 09:00"
"6","2025-07-27 12:20:04","L100002","2025-07-27","Atlanta Retail Partner","CUST-6926","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","Delivery","PO-L100002","440","8.8","2","1","19","760","43191","2025-07-27 17:48","2025-07-27 17:48","2025-07-27 19:15"
"7","2025-07-21 12:20:04","L100003","2025-07-21","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100003","0","0","1","1","18","720","40344","2025-07-21 07:00","2025-07-21 07:00","2025-07-21 09:38"
"8","2025-07-21 12:20:04","L100003","2025-07-21","Charlotte Retail Partner","CUST-6780","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","Delivery","PO-L100003","470","9.4","2","1","18","720","40344","2025-07-21 19:02","2025-07-21 19:02","2025-07-21 19:42"
"9","2025-07-22 12:20:04","L100004","2025-07-22","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100004","0","0","1","1","26","1040","43357","2025-07-22 06:00","2025-07-22 06:00","2025-07-22 07:56"
"10","2025-07-22 12:20:04","L100004","2025-07-22","Atlanta Retail Partner","CUST-7442","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","Delivery","PO-L100004","440","8.8","2","1","26","1040","43357","2025-07-22 16:44","2025-07-22 16:44","2025-07-22 17:36"
"11","2025-07-28 12:20:04","L100005","2025-07-28","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100005","0","0","1","1","21","840","41204","2025-07-28 07:00","2025-07-28 07:00","2025-07-28 09:56"
"12","2025-07-28 12:20:04","L100005","2025-07-28","Jacksonville Retail Partner","CUST-3625","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","Delivery","PO-L100005","140","2.8","2","1","21","840","41204","2025-07-28 12:44","2025-07-28 12:44","2025-07-28 13:54"
"13","2025-08-02 12:20:04","L100006","2025-08-02","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100006","0","0","1","1","21","840","21521","2025-08-02 07:00","2025-08-02 07:00","2025-08-02 08:40"
"14","2025-08-02 12:20:04","L100006","2025-08-02","Jacksonville Retail Partner","CUST-3451","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","Delivery","PO-L100006","140","2.8","2","1","21","840","21521","2025-08-02 11:28","2025-08-02 11:28","2025-08-02 12:33"
"15","2025-07-30 12:20:04","L100007","2025-07-30","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100007","0","0","1","1","26","1040","43906","2025-07-30 09:00","2025-07-30 09:00","2025-07-30 10:47"
"16","2025-07-30 12:20:04","L100007","2025-07-30","Charlotte Retail Partner","CUST-9751","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","Delivery","PO-L100007","470","9.4","2","1","26","1040","43906","2025-07-30 20:11","2025-07-30 20:11","2025-07-30 20:54"
"17","2025-07-28 12:20:04","L100008","2025-07-28","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100008","0","0","1","1","18","720","22711","2025-07-28 08:00","2025-07-28 08:00","2025-07-28 09:35"
"18","2025-07-28 12:20:04","L100008","2025-07-28","Jacksonville Retail Partner","CUST-9893","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","Delivery","PO-L100008","140","2.8","2","1","18","720","22711","2025-07-28 12:23","2025-07-28 12:23","2025-07-28 13:31"
"19","2025-07-28 12:20:04","L100009","2025-07-28","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100009","0","0","1","1","25","1000","26949","2025-07-28 07:00","2025-07-28 07:00","2025-07-28 09:10"
"20","2025-07-28 12:20:04","L100009","2025-07-28","Charlotte Retail Partner","CUST-8833","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","Delivery","PO-L100009","470","9.4","2","1","25","1000","26949","2025-07-28 18:34","2025-07-28 18:34","2025-07-28 19:17"
"21","2025-08-01 12:20:04","L100010","2025-08-01","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100010","0","0","1","1","25","1000","26919","2025-08-01 08:00","2025-08-01 08:00","2025-08-01 09:23"
"22","2025-08-01 12:20:04","L100010","2025-08-01","Jacksonville Retail Partner","CUST-1966","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","Delivery","PO-L100010","140","2.8","2","1","25","1000","26919","2025-08-01 12:11","2025-08-01 12:11","2025-08-01 13:38"
"23","2025-08-06 12:20:04","L100011","2025-08-06","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100011","0","0","1","1","21","840","33547","2025-08-06 06:00","2025-08-06 06:00","2025-08-06 08:41"
"24","2025-08-06 12:20:04","L100011","2025-08-06","Jacksonville Retail Partner","CUST-4093","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","Delivery","PO-L100011","140","2.8","2","1","21","840","33547","2025-08-06 11:29","2025-08-06 11:29","2025-08-06 12:31"
"25","2025-08-05 12:20:04","L100012","2025-08-05","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100012","0","0","1","1","21","840","25596","2025-08-05 08:00","2025-08-05 08:00","2025-08-05 09:14"
"26","2025-08-05 12:20:04","L100012","2025-08-05","Jacksonville Retail Partner","CUST-5219","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","Delivery","PO-L100012","140","2.8","2","1","21","840","25596","2025-08-05 12:02","2025-08-05 12:02","2025-08-05 12:41"
"27","2025-08-06 12:20:04","L100013","2025-08-06","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100013","0","0","1","1","21","840","32810","2025-08-06 08:00","2025-08-06 08:00","2025-08-06 10:54"
"28","2025-08-06 12:20:04","L100013","2025-08-06","Jacksonville Retail Partner","CUST-8393","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","Delivery","PO-L100013","140","2.8","2","1","21","840","32810","2025-08-06 13:42","2025-08-06 13:42","2025-08-06 14:24"
"29","2025-08-08 12:20:04","L100014","2025-08-08","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100014","0","0","1","1","20","800","26032","2025-08-08 08:00","2025-08-08 08:00","2025-08-08 09:36"
"30","2025-08-08 12:20:04","L100014","2025-08-08","Jacksonville Retail Partner","CUST-3399","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","Delivery","PO-L100014","140","2.8","2","1","20","800","26032","2025-08-08 12:24","2025-08-08 12:24","2025-08-08 12:57"
"31","2025-08-07 12:20:04","L100015","2025-08-07","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100015","0","0","1","1","19","760","22897","2025-08-07 06:00","2025-08-07 06:00","2025-08-07 07:37"
"32","2025-08-07 12:20:04","L100015","2025-08-07","Atlanta Retail Partner","CUST-1073","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","Delivery","PO-L100015","440","8.8","2","1","19","760","22897","2025-08-07 16:25","2025-08-07 16:25","2025-08-07 17:46"
"33","2025-08-11 12:20:04","L100016","2025-08-11","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100016","0","0","1","1","26","1040","36335","2025-08-11 07:00","2025-08-11 07:00","2025-08-11 09:58"
"34","2025-08-11 12:20:04","L100016","2025-08-11","Jacksonville Retail Partner","CUST-1042","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","Delivery","PO-L100016","140","2.8","2","1","26","1040","36335","2025-08-11 12:46","2025-08-11 12:46","2025-08-11 14:12"
"35","2025-08-12 12:20:04","L100017","2025-08-12","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100017","0","0","1","1","18","720","22958","2025-08-12 06:00","2025-08-12 06:00","2025-08-12 07:21"
"36","2025-08-12 12:20:04","L100017","2025-08-12","Charlotte Retail Partner","CUST-6013","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","Delivery","PO-L100017","470","9.4","2","1","18","720","22958","2025-08-12 16:45","2025-08-12 16:45","2025-08-12 17:24"
"37","2025-08-12 12:20:04","L100018","2025-08-12","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100018","0","0","1","1","25","1000","21011","2025-08-12 07:00","2025-08-12 07:00","2025-08-12 08:59"
"38","2025-08-12 12:20:04","L100018","2025-08-12","Charlotte Retail Partner","CUST-3254","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","Delivery","PO-L100018","470","9.4","2","1","25","1000","21011","2025-08-12 18:23","2025-08-12 18:23","2025-08-12 18:53"
"39","2025-08-12 12:20:04","L100019","2025-08-12","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100019","0","0","1","1","26","1040","35098","2025-08-12 06:00","2025-08-12 06:00","2025-08-12 08:07"
"40","2025-08-12 12:20:04","L100019","2025-08-12","Jacksonville Retail Partner","CUST-6549","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","Delivery","PO-L100019","140","2.8","2","1","26","1040","35098","2025-08-12 10:55","2025-08-12 10:55","2025-08-12 11:30"
"41","2025-08-24 12:20:04","L100020","2025-08-24","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100020","0","0","1","1","26","1040","23124","2025-08-24 09:00","2025-08-24 09:00","2025-08-24 10:28"
"42","2025-08-24 12:20:04","L100020","2025-08-24","Charlotte Retail Partner","CUST-6749","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","Delivery","PO-L100020","470","9.4","2","1","26","1040","23124","2025-08-24 19:52","2025-08-24 19:52","2025-08-24 21:05"
"43","2025-08-19 12:20:04","L100021","2025-08-19","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100021","0","0","1","1","26","1040","41360","2025-08-19 07:00","2025-08-19 07:00","2025-08-19 09:28"
"44","2025-08-19 12:20:04","L100021","2025-08-19","Atlanta Retail Partner","CUST-7879","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","Delivery","PO-L100021","440","8.8","2","1","26","1040","41360","2025-08-19 18:16","2025-08-19 18:16","2025-08-19 19:10"
"45","2025-08-19 12:20:04","L100022","2025-08-19","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100022","0","0","1","1","23","920","39478","2025-08-19 06:00","2025-08-19 06:00","2025-08-19 08:36"
"46","2025-08-19 12:20:04","L100022","2025-08-19","Atlanta Retail Partner","CUST-2719","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","Delivery","PO-L100022","440","8.8","2","1","23","920","39478","2025-08-19 17:24","2025-08-19 17:24","2025-08-19 18:22"
"47","2025-08-22 12:20:04","L100023","2025-08-22","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100023","0","0","1","1","19","760","23618","2025-08-22 08:00","2025-08-22 08:00","2025-08-22 10:54"
"48","2025-08-22 12:20:04","L100023","2025-08-22","Charlotte Retail Partner","CUST-4647","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","Delivery","PO-L100023","470","9.4","2","1","19","760","23618","2025-08-22 20:18","2025-08-22 20:18","2025-08-22 21:30"
"49","2025-08-21 12:20:04","L100024","2025-08-21","Neverland Distribution","DIV1","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Pickup","PO-L100024","0","0","1","1","26","1040","26851","2025-08-21 07:00","2025-08-21 07:00","2025-08-21 09:54"
"50","2025-08-21 12:20:04","L100024","2025-08-21","Charlotte Retail Partner","CUST-2955","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","Delivery","PO-L100024","470","9.4","2","1","26","1040","26851","2025-08-21 19:18","2025-08-21 19:18","2025-08-21 20:36"
