"Id","AddedDatetimeOffset","Owner Key","Division ID","DivID","Division Name","LoadNum","Ship Date","Mode","Fresh Frozen","StopCount","Origin Location","Origin City","Origin State","Origin Postal","Origin Lat","Origin Long","Destination Location","Destination City","Destination State","Destination Postal","Destination Lat","Destination Long","Miles","Handling Units","Total Weight","Carrier","RG Low Cost Carrier","Rate Source","Service Level","Freight Cost","Accessorial Cost","Total Cost","Low Cost Total","Benchmark Total","Cleansed Total Weight"
"1","2025-07-21 12:20:04","OWN-NEV","DIV1","1","Neverland","L100000","2025-07-21","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","20","29358","Enchanted Wheels Trucking","Enchanted Wheels Trucking","Spot","Standard","946","29.82","975.82","958.25","934.29","29358"
"2","2025-07-22 12:20:04","OWN-NEV","DIV1","1","Neverland","L100001","2025-07-22","Intermodal","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","23","21450","Royal Coachlines","Royal Coachlines","Contract","Standard","805.2","26","831.2","816.86","819.24","21450"
"3","2025-07-27 12:20:04","OWN-NEV","DIV1","1","Neverland","L100002","2025-07-27","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","19","43191","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Contract","Expedited","910.8","43.5","954.3","942.04","893.78","38000"
"4","2025-07-21 12:20:04","OWN-NEV","DIV1","1","Neverland","L100003","2025-07-21","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","18","40344","Royal Coachlines","Royal Coachlines","Spot","Standard","1015.2","71.05","1086.25","1092.75","1130.58","38000"
"5","2025-07-22 12:20:04","OWN-NEV","DIV1","1","Neverland","L100004","2025-07-22","Intermodal","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","26","43357","Storybook Shipping","Storybook Shipping","Spot","Expedited","1139.6","140.61","1280.21","1277.19","1312.87","38000"
"6","2025-07-28 12:20:04","OWN-NEV","DIV1","1","Neverland","L100005","2025-07-28","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","21","41204","Enchanted Wheels Trucking","Beast Freight Co","Contract","Standard","275.8","28.67","304.47","224.56","324.33","38000"
"7","2025-08-02 12:20:04","OWN-NEV","DIV1","1","Neverland","L100006","2025-08-02","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","21","21521","Storybook Shipping","Storybook Shipping","Contract","Standard","294","41.37","335.37","340.16","322.34","21521"
"8","2025-07-30 12:20:04","OWN-NEV","DIV1","1","Neverland","L100007","2025-07-30","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","26","43906","Storybook Shipping","Storybook Shipping","Spot","Expedited","869.5","32.22","901.72","883.83","964.62","38000"
"9","2025-07-28 12:20:04","OWN-NEV","DIV1","1","Neverland","L100008","2025-07-28","Intermodal","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","18","22711","Storybook Shipping","Pumpkin Carriage Carriers","Contract","Expedited","354.2","25.28","379.48","326.24","357.76","22711"
"10","2025-07-28 12:20:04","OWN-NEV","DIV1","1","Neverland","L100009","2025-07-28","LTL","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","25","26949","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Spot","Standard","958.8","42.32","1001.12","984.57","1061.13","26949"
